Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,178.64564514160156,170.4044952392578,144.1271209716797,325.0380859375,399.9266662597656,179.49957387951153,170.70350646972656,144.98149407284546,328.19379550970876,400.3566589355469,174.4251401333062,166.16050720214844,142.85623946691334,320.2122765756348,378.67999267578125,174.5429172102293,167.5500030517578,144.19023428076133,325.6206844003455,382.5833435058594,104487900,63520000,28646000,28865100,103931400
2022-01-04,176.37831115722656,167.52200317382812,143.5386505126953,319.4645690917969,383.1966552734375,179.55842638666093,171.39999389648438,145.61171257737956,325.47498337685073,402.6666564941406,175.80903043843506,166.34950256347656,142.8597236345001,316.6584013250783,374.3500061035156,179.25415901450634,170.43800354003906,144.52920029280338,325.1156931532872,396.51666259765625,99310400,70726000,28400000,32674300,100248300
2022-01-05,171.6866912841797,164.35699462890625,136.95362854003906,307.20098876953125,362.7066650390625,176.83964771384632,167.12649536132812,143.63804201848822,316.6098587525815,390.11334228515625,171.4118681394032,164.35699462890625,136.8671567890613,306.81259974808444,360.336669921875,176.2900014242933,166.88299560546875,143.5590176679192,316.405930069771,382.2166748046875,94537600,64302000,54618000,40054300,80119800
2022-01-06,168.82066345214844,163.25399780273438,136.9263153076172,304.7735595703125,354.8999938964844,172.0596675486128,164.8000030517578,139.10574956390758,309.45372640637964,362.6666564941406,168.46731727841166,161.93699645996094,135.7444081468337,302.45288523458527,340.1666564941406,169.50772129643173,163.45050048828125,136.18178751194694,304.0647280316112,359.0,96904000,51958000,37348000,39646100,90336600
2022-01-07,168.98748779296875,162.5540008544922,136.2001495361328,304.9289855957031,342.32000732421875,170.92107413656058,165.24349975585938,137.62311869612512,307.31760704061617,360.30999755859375,167.86856094746128,162.031005859375,134.9571010729995,301.09357232794304,336.6666564941406,169.69418000873506,163.83900451660156,137.3219160997479,305.0357800192472,360.1233215332031,86709100,46606000,29760000,32720000,84164700
2022-01-10,169.00718688964844,161.48599243164062,137.84280395507812,305.15216064453125,352.7066650390625,169.31145435336728,161.6614990234375,137.99191881727012,305.58911677172296,353.0333251953125,165.06148967296951,156.30450439453125,132.3706328222007,295.8501155760622,326.6666564941406,165.95467253383114,160.5854949951172,134.27272325689333,300.510842649267,333.3333435058594,106765600,87798000,44408000,44289500,91815000
2022-01-11,171.84375,165.36199951171875,138.90292358398438,305.8416442871094,354.79998779296875,171.9418925722171,166.35000610351562,139.38007287238997,307.42432897382355,358.6166687011719,167.66249900972133,160.70150756835938,135.87758049902013,300.899321615518,346.2733459472656,169.13477238363146,161.5,137.18424270730665,304.2880584070521,351.22332763671875,76138300,62806000,28730000,29386800,66063300
2022-01-12,172.28543090820312,165.20700073242188,140.5873565673828,309.03619384765625,368.739990234375,173.90492564658769,166.8780059814453,141.757842347019,314.0270840292815,371.61334228515625,171.58856322387598,164.41700744628906,139.85575176370554,307.88071630388504,357.5299987792969,172.86452151388104,166.5749969482422,140.30852646608497,310.3956001101081,359.6166687011719,74805200,50030000,26108000,34372200,83739000
2022-01-13,169.00718688964844,161.21400451660156,137.76080322265625,295.9569396972656,343.85333251953125,173.35529415174287,166.22149658203125,141.9983893426326,311.5704332628309,371.8666687011719,168.6145716326397,161.09100341796875,137.5838554108027,295.1801616510571,342.17999267578125,172.53082457713552,165.25050354003906,140.69618631751152,311.17232488368956,369.69000244140625,84505800,52188000,31436000,45366000,97209900
2022-01-14,169.8709259033203,162.13800048828125,138.6489715576172,301.2002868652344,349.8699951171875,170.56779364905069,162.25,139.9029560886818,301.8022942791712,350.6666564941406,167.92751407393143,159.80050659179688,136.18177360151284,294.9374066247737,337.7933349609375,168.17289299389805,160.14999389648438,136.26178386352225,295.42290029823016,339.9599914550781,80440800,45974000,29662000,39846400,72924300
2022-01-18,166.6613311767578,158.91749572753906,135.18724060058594,293.869384765625,343.5033264160156,169.35067400164021,159.7344970703125,136.3139823208057,300.8119400268569,356.92999267578125,166.27854073936825,157.6645050048828,134.63108204024,292.9857825131498,338.6866760253906,168.33971425733603,159.10499572753906,135.36318734561587,295.2482001655353,342.2033386230469,90956700,67292000,34872000,42333200,66743400
2022-01-19,163.15733337402344,156.2989959716797,134.3109893798828,294.52960205078125,331.8833312988281,167.91769000661554,159.25,137.13704283674758,304.8026655825984,351.5566711425781,162.87270044087128,156.25,134.2105935650116,293.91790486518016,331.6666564941406,166.85765136543813,158.76199340820312,135.70959909335295,297.40374615872065,347.2366638183594,94815000,53242000,28648000,45933900,75442500
2022-01-20,161.4691162109375,151.66749572753906,132.51278686523438,292.8498840332031,332.0899963378906,166.54354975921092,158.0,136.80555416095493,302.6082981583536,347.2200012207031,161.14521428529383,151.3509979248047,132.17182934295488,292.40323800684445,331.3333435058594,163.8934607946357,156.76600646972656,135.43775010187215,300.10316303499457,336.57666015625,91420500,71974000,29908000,35380700,70488600
2022-01-21,159.407958984375,142.64300537109375,129.57440185546875,287.4414367675781,314.6333312988281,163.25549850314817,150.89999389648438,134.0614836836018,295.2870029567207,334.8500061035156,159.29999166470387,142.07049560546875,129.31098227824953,287.0336089676001,313.5,161.38080003283116,149.9499969482422,131.80304038371057,293.9082172607986,332.11334228515625,122848900,163972000,55652000,57984400,103416000
2022-01-24,158.63253784179688,144.54400634765625,130.02420043945312,287.77154541015625,310.0,159.29997620135896,144.94500732421875,130.42082382606242,288.4900666398452,311.1700134277344,151.84045205683918,135.3520050048828,123.75778148192607,268.0410733422131,283.8233337402344,157.06212195335075,139.0,125.22696709031449,283.72254434338123,301.586669921875,162294600,155624000,76622000,85731500,151565700
2022-01-25,156.82655334472656,139.98599243164062,126.17826843261719,280.1201477050781,306.1333312988281,159.7514654895658,143.60000610351562,128.62758366714436,286.43156585377636,317.086669921875,154.1175758189767,138.14500427246094,125.74636467116437,276.89649203266447,301.07000732421875,156.04133790955973,142.24249267578125,127.97251572510314,283.06223836449163,304.73333740234375,115798400,90824000,46960000,72848600,86595900
2022-01-26,156.7382049560547,138.87249755859375,128.4625701904297,288.1016540527344,312.4700012207031,161.35132458598716,145.18499755859375,132.20711125940946,299.5496034339811,329.2300109863281,154.9027758530205,137.31849670410156,126.38403243461616,284.5284276453755,302.0,160.47777643261003,144.75,130.33732824784752,299.05439039333135,317.4766540527344,108275300,95602000,49130000,90428900,104867400
2022-01-27,156.2769012451172,139.6374969482422,128.23593139648438,291.1408996582031,276.3666687011719,160.8114981245685,144.24349975585938,131.86167804427959,298.38445839019573,311.7966613769531,155.35427426622283,139.35000610351562,128.163853903532,289.28630990590625,276.3333435058594,159.44719215998208,140.8000030517578,130.52122172280093,293.8790916253967,311.1199951171875,121954600,77516000,31950000,53481300,147109500
2022-01-28,167.18154907226562,143.97799682617188,132.55601501464844,299.316650390625,282.1166687011719,167.2011835771804,143.9980010986328,132.56149059858544,299.53026885029084,285.8333435058594,159.79073801782928,137.92950439453125,127.71902674224266,285.9073138559126,264.0033264160156,162.64695192499494,140.86050415039062,128.88602384065854,291.51962106110744,277.1866760253906,179935700,74392000,34362000,49743700,134789100
2022-01-31,171.54930114746094,149.57350158691406,134.4968719482422,301.95770263671875,312.239990234375,171.76523578487254,150.36050415039062,134.66537128574515,303.31707920676604,312.663330078125,166.37670956776643,144.30050659179688,131.42132296392336,297.4814348645573,287.3500061035156,167.0147037152971,144.75,133.362182332682,299.98659920210355,290.9033203125,115541600,78308000,39986000,46444500,104436000
2022-02-01,171.38241577148438,151.19349670410156,136.82342529296875,299.80206298828125,310.4166564941406,171.60816013472234,151.70799255371094,136.97153908448766,301.61780458751355,314.5666809082031,169.12492720889244,147.62750244140625,133.56745490599226,296.27737417462686,301.6666564941406,170.7935005023778,150.0,136.77422087518204,301.40418618571084,311.7366638183594,86213900,59220000,68644000,40950400,73138200
2022-02-02,172.58970642089844,150.6125030517578,147.11769104003906,304.36572265625,301.88665771484375,172.62897543344508,155.0749969482422,150.64304198235166,305.97756540493566,310.5,170.1261075578704,148.86349487304688,144.65496744664003,299.91861310216416,296.4700012207031,171.51985796847407,155.05050659179688,150.34831601220208,300.64685370133134,309.3933410644531,84914300,87330000,123200000,36636000,66792900
2022-02-03,169.7040557861328,138.8455047607422,142.23695373535156,292.5099792480469,297.0466613769531,172.98232955327137,144.24749755859375,148.78270339835078,302.20044499578506,312.3333435058594,168.9384747506924,138.33299255371094,141.81498491185366,291.25739709798916,293.50665283203125,171.2548523641826,141.7375030517578,144.8368701996138,300.51090662551127,294.0,89418100,225532000,71518000,43730000,78855600
2022-02-04,169.4190216064453,157.63949584960938,142.43873596191406,297.06396484375,307.7733459472656,171.09955797995624,161.1999969482422,144.01130535308306,299.84097530707743,312.1666564941406,167.73848523293438,150.60800170898438,139.67729755852244,291.2671673717236,293.72332763671875,168.72125118343195,155.60650634765625,142.58933726098346,291.5001949260751,299.0733337402344,82465400,253456000,57998000,35096500,73625400
2022-02-07,168.70162963867188,157.9355010986328,138.3711395263672,292.21868896484375,302.4466552734375,170.95215737367448,162.6909942626953,143.39003526596414,298.90877717897297,315.92333984375,168.00385912062177,157.25,138.07192390474245,291.1991343489562,300.9033203125,169.88094594072888,158.52000427246094,143.39003526596414,297.28724470910936,307.92999267578125,77251200,102624000,54974000,28533300,60994500
2022-02-08,171.81700134277344,161.4134979248047,138.56797790527344,295.72393798828125,307.3333435058594,172.32804392038554,161.79249572753906,139.16539299380133,296.694925446775,308.7633361816406,168.4755875609354,155.55050659179688,136.19720149218858,291.2477000280742,298.26666259765625,168.7704203940124,156.75050354003906,138.19770098290965,292.5099718712418,301.84332275390625,74829200,76040000,54284000,32421200,50729100
2022-02-09,173.24200439453125,161.1894989013672,140.7478790283203,302.1809387207031,310.6666564941406,173.60562304759242,163.83450317382812,141.67483014140282,302.8800507374313,315.42333984375,171.88578239754793,160.25,139.35125630336145,298.47178988545886,306.6666564941406,173.01597239364082,162.87350463867188,140.123131603112,300.87981934027175,311.6666564941406,71285000,68786000,40144000,31284700,52259400
2022-02-10,169.15365600585938,159.0034942626953,137.79359436035156,293.6072082519531,301.51666259765625,172.4557499144487,160.7165069580078,140.64101922023315,300.151654592336,314.60333251953125,168.59348726023444,157.75,137.1345525010559,291.9759563455613,298.8999938964844,171.13884725340492,158.35000610351562,138.8706462219563,295.2190510757167,302.7900085449219,90865900,68268000,39330000,45386200,66126900
2022-02-11,165.73367309570312,153.2935028076172,133.48196411132812,286.48016357421875,286.6666564941406,170.09715694195197,159.0,138.32690028768508,295.4617980519647,305.32000732421875,165.14400744238606,152.73399353027344,132.60471793324464,285.6839467033855,283.5666809082031,169.3600823732159,158.13450622558594,137.7737298036491,294.3937058633088,303.2099914550781,98670700,77100000,39958000,39175600,79645800
2022-02-14,165.96954345703125,155.16700744628906,134.71804809570312,286.4413146972656,291.9200134277344,166.65747672658372,158.44850158691406,135.48743587399645,288.15026219267463,299.6266784667969,163.68951891129095,151.64999389648438,132.4620772368233,282.89721622151654,284.3833312988281,164.48555705147456,151.75100708007812,132.4620772368233,285.2469893955168,287.19000244140625,86185500,83230000,34302000,36359500,67756500
2022-02-15,169.8121795654297,156.510498046875,135.79412841796875,291.7525939941406,307.4766540527344,169.96942576982215,158.0070037841797,137.28518633018032,292.0730068075683,307.6666564941406,167.3159598029489,154.6374969482422,135.0118174851671,288.40267551101897,297.7933349609375,168.02355272689155,157.60549926757812,136.75038397293477,291.30594807378594,300.0,62527400,56440000,26680000,27058300,57286200
2022-02-16,169.5762939453125,158.10049438476562,136.9168701171875,291.4120788574219,307.7966613769531,170.35267256794222,158.83399963378906,137.26278747790528,292.7450776057495,308.80999755859375,167.11937868964532,154.7344970703125,134.11963545323007,285.7492393471848,300.4033203125,168.8883606728898,155.79049682617188,135.83187026783972,290.3125894683754,304.6833190917969,61177400,52704000,25022000,29982100,51294300
2022-02-17,165.96954345703125,154.65249633789062,131.74884033203125,282.87890625,292.1166687011719,168.94732353481027,160.3489990234375,136.29606186664606,288.7849645691947,306.1666564941406,165.56660575778602,154.5,131.68869992433548,282.1686090616829,291.3666687011719,168.0824845697611,158.14599609375,135.43075288338343,288.3568443041073,304.4200134277344,69589300,64032000,38950000,32461600,55178400
2022-02-18,164.41676330566406,152.60150146484375,129.62559509277344,280.154541015625,285.6600036621094,167.6009157130797,155.49949645996094,133.27074146885232,285.9243962532494,295.6233215332031,163.32589238939244,150.89300537109375,129.42032894496498,278.57829331636475,279.2033386230469,166.893337952625,155.49949645996094,132.6713242741991,285.1362724036193,295.3333435058594,82772700,63604000,45620000,34264000,68501700
2022-02-22,161.48812866210938,150.19749450683594,129.03961181640625,279.9501647949219,273.84332275390625,163.81727946148703,152.9824981689453,131.392489926859,283.6670133817274,285.57666015625,159.35551308277192,148.48550415039062,127.45907922134613,276.81711923482464,267.0333251953125,162.1367428748668,150.47850036621094,129.06395617131994,277.3036168081723,278.0433349609375,91162800,66128000,44990000,41736100,83288100
2022-02-23,157.31138610839844,144.82699584960938,126.8273696899414,272.70135498046875,254.67999267578125,163.2865911526906,151.76300048828125,131.26376055099263,283.8227127228963,278.4333190917969,156.99689373984543,144.6510009765625,126.76722927425091,272.5359624242188,253.52000427246094,162.68710319648025,151.65049743652344,130.86366373256033,282.34374100984417,276.80999755859375,90009200,64244000,32786000,37811200,95256900
2022-02-24,159.9353485107422,151.35800170898438,131.8999481201172,286.6346740722656,266.92333984375,160.04345337346268,151.74899291992188,132.20711169927176,287.1892885046201,267.49334716796875,149.3804359903009,139.5,124.20858028871129,264.1876659850067,233.3333282470703,149.9504420850254,139.83749389648438,124.20858028871129,265.15095149737476,233.4633331298828,141147500,100786000,54456000,56989700,135322200
2022-02-25,162.0089874267578,153.7884979248047,133.65789794921875,289.2812194824219,269.9566650390625,162.27432346013268,153.99000549316406,134.46505354193485,289.5925850932438,273.1666564941406,158.09756779697935,149.2135009765625,130.96603442670602,283.7740627265268,260.79998779296875,161.0163841306603,150.5500030517578,132.7558069650752,287.169836388477,269.74334716796875,91974200,62396000,36406000,32546700,76067700
